category	course_college	url	reason
good	CSC310 - University of Rhode Island	https://homepage.cs.uri.edu/faculty/hamel/courses/2018/spring2018/csc310/lecture-notes/	
good	CSCI2132 - Dalhousie University	https://web.cs.dal.ca/~vlado/csci2132/slides/sd01-slides.pdf	
good	ECE563 - North Carolina State University	https://ericrotenberg.wordpress.ncsu.edu/ece-463-563-fall-2018-microprocessor-architecture/	
good	CS1331 - Georgia Institute of Technology	https://cs1331.gitlab.io/slides/introduction.pdf	
good	CS200 - University of Wisconsin-Madison	https://pages.cs.wisc.edu/~vinitskys/cs200_files/lectures/1_Welcome_to_CS200.pdf	
good	CS371 - Duke University	https://courses.cs.duke.edu/fall19/compsci371d/slides/	
good	CS680 - University of Waterloo	https://cs.uwaterloo.ca/~ppoupart/teaching/cs480-fall20/	
good	CS7637 - Georgia Institute of Technology	https://github.com/parthi2929/gt_cs7637/tree/master/Slides	
good	CSE307 - Stony Brook University	https://www3.cs.stonybrook.edu/~pfodor/courses/cse307.html	
good	ECE2100 - Cornell University	https://ocw.ece.cornell.edu/ece-2100-lecture-notes/	
good	CAP4053 - University of Florida	https://github.com/maxkrieger2000/cap4053-student-materials/tree/main/Lecture%20Slides	
good	CH1020 - Worcester Polytechnic Institute	https://github.com/Mcdonoughd/CH1020/tree/master/Class%20Slides/Lecture%20Slides	
good	CIS3550 - Baruch College	https://academicworks.cuny.edu/bb_oers/5/	
good	CISC3130 - Brooklyn College	https://libguides.brooklyn.cuny.edu/cisc3130/schedule	
good	CPSC102 - Clemson University	http://andrewd.ces.clemson.edu/courses/cpsc102/spring20/slides/11C++%20Classes%20Part%203.pptx	
good	CS1340 - Southern Methodist University	https://smu-cs1340.github.io/cs1340-f2020/syllabus/syllabus/	
good	EK307 - Boston University	https://sites.bu.edu/engcourses/ek307/	
good	2GA3 - McMaster University	https://github.com/chowdhaj/McMaster/tree/main/My%20Courses/CompSci%202GA3/2021/Slides	
good	CALC2202 - Kennesaw State University	https://facultyweb.kennesaw.edu/ykang4/math2202.php	only 1 available
good	CMPSC16 - University of California, Santa Barbara	https://ucsb-cs16.github.io/w20/info/syllabus/	
good	CS4320 - Cornell University	http://www.databaselecture.com/	
good	CSC134 - California State University, Sacramento	https://zedchance.github.io/notes/134-6.pdf	
good	CSI1430 - Baylor University	https://github.com/xiangmind/csi_1430	
good	MIS3690 - Babson College	https://github.com/gscholer/OIM3690-resources/blob/main/slides	
good	CMPT320 - Simon Fraser University	https://coursys.sfu.ca/2022sp-cmpt-320-d1/pages/	
good	CMPT354 - Simon Fraser University	https://sfu-db.github.io/cmpt354/	
good	CS104 - University of Southern California	https://ee.usc.edu/~redekopp/cs104/slides/L01_Overview.pdf	
good	CS4450 - Cornell University	https://www.cs.cornell.edu/courses/cs4450/2022fa/schedule.html	
good	CS6810 - University of Utah	https://users.cs.utah.edu/~rajeev/cs6810/	
good	CSC241 - DePaul University	https://reed.cs.depaul.edu/lperkovic/csc241/	
good	ECE471 - University of Maine	https://web.eece.maine.edu/~vweaver/classes/ece471_2022f/	
good	CISC3171 - Brooklyn College	https://huichen-cs.github.io/course/CISC3171/23SP/syllabus/	
good	COSC1306 - University of Houston	https://www2.cs.uh.edu/~acl/cs1336/Resource/index.html	
good	CS15112 - Carnegie Mellon University	https://www.cs.cmu.edu/~112-f23/	
good	CSE548 - Stony Brook University	https://www3.cs.stonybrook.edu/~rezaul/CSE548-F23.html	
good	CX4220 - Georgia Institute of Technology	https://sites.gatech.edu/cse6220fall24/	
good	CS3853 - University of Texas at San Antonio	https://wwang.github.io/teaching/slides/Comp_Arch/Midterm1_PreparationU.pdf	
good	CS537 - University of Wisconsin-Madison	https://pages.cs.wisc.edu/~oliphant/cs537-sp24/	
good	CSCI4430 - Rensselaer Polytechnic Institute	https://www.cs.rpi.edu/academics/courses/fall24/csci4430/	
good	CSCI567 - University of Southern California	https://usc-tamagotchi.github.io/csci-567/24f/slides/lec10%20f24.pdf	
good	DSCI553 - University of Southern California	https://github.com/HaoyueXU99/USC-DSCI-553-Fall23/tree/main/Slides	
good	ECE6254 - Georgia Institute of Technology	https://mdav.ece.gatech.edu/ece-6254-spring2024/notes/	
good	CAP5510 - University of Florida	https://www.cise.ufl.edu/~tamer/teaching/fall2025/lectures/01-CAP5510.pptx	
good	CIS2166 - Temple University	https://cis-linux1.temple.edu/~latecki/Courses/CIS2166-Spring25/	
good	CMSC231 - Haverford College	https://thao-nguyen-ai.github.io/courses/cs105/s25/index.html	
good	COMP3500 - Auburn University	https://github.com/kmoreland126/COMP-3500	
